iter	Passed	Remaining
0	137	137669
1	138	69113
2	139	46255
3	139	34807
4	140	27959
5	141	23384
6	141	20107
7	142	17651
8	143	15775
9	143	14247
10	144	12989
11	145	11944
12	145	11056
13	146	10296
14	146	9639
15	147	9064
16	147	8556
17	148	8113
18	149	7729
19	150	7378
20	151	7059
21	152	6766
22	152	6495
23	153	6249
24	154	6017
25	155	5807
26	155	5610
27	156	5425
28	156	5256
29	157	5105
30	158	4958
31	159	4818
32	160	4689
33	160	4566
34	161	4450
35	162	4340
36	162	4237
37	164	4152
38	164	4057
39	165	3968
40	165	3881
41	166	3798
42	167	3720
43	167	3645
44	168	3573
45	169	3505
46	169	3439
47	170	3376
48	170	3317
49	171	3259
50	172	3203
51	172	3150
52	173	3098
53	174	3048
54	174	3000
55	175	2955
56	176	2913
57	176	2870
58	177	2829
59	178	2790
60	178	2751
61	179	2715
62	180	2683
63	181	2649
64	181	2615
65	182	2582
66	183	2550
67	183	2519
68	184	2489
69	185	2460
70	185	2431
71	186	2404
72	187	2379
73	188	2353
74	188	2328
75	189	2304
76	190	2279
77	190	2254
78	191	2233
79	192	2211
80	193	2190
81	193	2170
82	194	2146
83	195	2130
84	196	2110
85	196	2091
86	197	2071
87	198	2052
88	198	2034
89	199	2016
90	200	1998
91	200	1981
92	201	1965
93	202	1948
94	202	1932
95	203	1916
96	204	1900
97	204	1884
98	205	1869
99	206	1854
100	206	1839
101	207	1824
102	207	1811
103	208	1797
104	209	1783
105	209	1769
106	210	1757
107	211	1744
108	211	1732
109	212	1719
110	213	1707
111	213	1695
112	214	1683
113	215	1671
114	215	1660
115	216	1648
116	216	1637
117	217	1626
118	218	1616
119	218	1605
120	219	1594
121	220	1584
122	220	1574
123	221	1564
124	222	1554
125	222	1545
126	223	1535
127	224	1526
128	224	1517
129	225	1508
130	226	1499
131	226	1490
132	227	1481
133	227	1473
134	228	1464
135	229	1456
136	229	1448
137	230	1440
138	231	1432
139	231	1424
140	232	1416
141	233	1407
142	233	1400
143	234	1392
144	235	1386
145	235	1379
146	236	1372
147	237	1366
148	238	1359
149	238	1352
150	239	1345
151	240	1339
152	240	1332
153	241	1326
154	242	1319
155	242	1313
156	243	1306
157	244	1300
158	244	1293
159	245	1287
160	245	1280
161	246	1274
162	247	1268
163	247	1262
164	248	1257
165	249	1251
166	249	1246
167	250	1241
168	251	1235
169	251	1230
170	252	1224
171	253	1218
172	253	1213
173	254	1207
174	255	1203
175	255	1198
176	256	1193
177	257	1188
178	258	1184
179	258	1179
180	259	1174
181	260	1169
182	260	1164
183	261	1159
184	262	1154
185	262	1149
186	263	1146
187	264	1143
188	265	1138
189	266	1134
190	266	1129
191	267	1125
192	268	1120
193	268	1116
194	269	1111
195	269	1107
196	270	1103
197	271	1099
198	272	1095
199	272	1091
200	273	1087
201	274	1082
202	274	1078
203	275	1074
204	276	1070
205	276	1066
206	277	1062
207	277	1058
208	278	1055
209	279	1052
210	280	1048
211	280	1044
212	281	1040
213	282	1036
214	282	1033
215	283	1029
216	284	1025
217	284	1021
218	285	1018
219	286	1014
220	287	1012
221	288	1009
222	288	1006
223	289	1002
224	290	999
225	290	996
226	291	992
227	292	989
228	293	986
229	293	983
230	294	980
231	295	977
232	295	973
233	296	970
234	297	967
235	297	964
236	298	960
237	299	957
238	299	953
239	300	950
240	301	948
241	302	946
242	302	943
243	303	940
244	304	938
245	305	935
246	306	933
247	307	930
248	307	928
249	308	925
250	309	922
251	309	920
252	310	917
253	311	914
254	311	911
255	312	908
256	313	905
257	313	902
258	314	900
259	315	897
260	315	894
261	316	892
262	317	889
263	318	887
264	318	884
265	319	881
266	320	879
267	320	876
268	321	873
269	322	871
270	323	869
271	323	866
272	324	865
273	325	862
274	326	860
275	326	857
276	327	855
277	328	852
278	328	850
279	329	847
280	330	845
281	330	842
282	331	840
283	332	837
284	332	835
285	333	833
286	334	830
287	335	828
288	335	826
289	336	824
290	337	821
291	337	819
292	338	817
293	339	815
294	340	814
295	341	811
296	342	809
297	342	807
298	343	805
299	344	802
300	344	800
301	345	798
302	346	796
303	346	794
304	347	792
305	348	790
306	349	789
307	350	786
308	351	784
309	351	782
310	352	780
311	353	778
312	353	776
313	354	774
314	355	772
315	356	771
316	356	768
317	357	767
318	358	764
319	358	762
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	750
326	363	748
327	364	746
328	365	744
329	365	742
330	366	740
331	366	738
332	367	735
333	368	734
334	368	732
335	369	730
336	370	728
337	370	726
338	371	724
339	372	722
340	372	720
341	373	718
342	374	716
343	375	715
344	375	713
345	376	711
346	377	710
347	378	708
348	378	706
349	379	704
350	379	702
351	380	700
352	381	698
353	381	696
354	382	695
355	383	693
356	383	691
357	384	689
358	385	687
359	385	685
360	386	684
361	387	682
362	387	680
363	388	679
364	389	677
365	389	675
366	390	673
367	391	671
368	391	670
369	392	668
370	393	666
371	394	665
372	394	663
373	395	662
374	396	660
375	396	658
376	397	657
377	398	655
378	398	653
379	399	652
380	400	650
381	401	649
382	401	647
383	402	645
384	403	644
385	403	642
386	404	640
387	405	639
388	405	637
389	406	635
390	407	634
391	407	632
392	408	631
393	409	629
394	410	628
395	410	626
396	411	624
397	412	623
398	412	621
399	413	619
400	413	618
401	414	616
402	415	615
403	416	613
404	416	612
405	417	610
406	418	609
407	418	607
408	419	605
409	419	604
410	420	602
411	421	601
412	422	600
413	423	598
414	423	597
415	424	595
416	425	594
417	425	592
418	426	591
419	427	589
420	427	588
421	428	586
422	429	585
423	429	583
424	430	582
425	431	580
426	431	579
427	432	577
428	432	576
429	433	574
430	434	573
431	434	571
432	435	570
433	436	568
434	436	567
435	437	566
436	438	564
437	438	563
438	439	561
439	440	560
440	440	558
441	441	557
442	442	556
443	443	554
444	443	553
445	444	552
446	445	550
447	445	549
448	446	547
449	447	546
450	447	545
451	448	543
452	449	542
453	449	540
454	450	539
455	451	538
456	452	537
457	452	535
458	453	534
459	454	533
460	455	532
461	456	531
462	456	529
463	457	528
464	458	527
465	458	525
466	459	524
467	460	523
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	515
474	464	513
475	465	512
476	465	510
477	466	509
478	467	508
479	467	506
480	468	505
481	469	504
482	470	503
483	471	502
484	471	500
485	472	499
486	472	498
487	473	496
488	474	495
489	475	494
490	476	493
491	476	492
492	477	491
493	478	489
494	478	488
495	479	487
496	480	486
497	480	484
498	481	483
499	482	482
500	482	480
501	483	479
502	484	478
503	485	477
504	485	476
505	486	474
506	487	473
507	487	472
508	488	471
509	489	469
510	489	468
511	490	467
512	491	466
513	491	465
514	492	464
515	493	462
516	494	461
517	494	460
518	495	459
519	496	458
520	496	456
521	497	455
522	498	454
523	498	453
524	499	452
525	500	450
526	501	449
527	502	448
528	502	447
529	503	446
530	503	445
531	504	444
532	505	442
533	506	441
534	506	440
535	507	439
536	508	438
537	508	437
538	509	435
539	510	434
540	511	433
541	512	432
542	513	431
543	513	430
544	514	429
545	515	428
546	516	427
547	517	426
548	517	425
549	518	424
550	519	423
551	520	422
552	521	421
553	522	420
554	522	419
555	523	417
556	524	417
557	525	415
558	525	414
559	527	414
560	527	413
561	528	411
562	529	410
563	530	409
564	530	408
565	531	407
566	532	406
567	532	405
568	533	404
569	534	403
570	534	401
571	535	400
572	536	399
573	537	398
574	538	397
575	538	396
576	539	395
577	540	394
578	540	393
579	541	392
580	542	391
581	543	390
582	544	389
583	545	388
584	546	387
585	546	386
586	547	385
587	548	384
588	549	383
589	550	382
590	551	381
591	551	380
592	552	379
593	553	378
594	554	377
595	554	376
596	555	375
597	556	373
598	557	373
599	557	371
600	558	371
601	559	369
602	560	368
603	561	368
604	562	366
605	562	365
606	563	364
607	563	363
608	564	362
609	565	361
610	566	360
611	566	359
612	567	358
613	568	357
614	569	356
615	569	355
616	570	354
617	571	353
618	571	352
619	572	350
620	573	349
621	574	348
622	574	347
623	575	346
624	576	345
625	577	344
626	578	344
627	579	343
628	580	342
629	581	341
630	582	340
631	583	339
632	584	338
633	584	337
634	585	336
635	586	335
636	587	334
637	588	333
638	589	332
639	589	331
640	590	330
641	591	329
642	592	328
643	592	327
644	593	326
645	594	325
646	594	324
647	595	323
648	596	322
649	597	321
650	598	321
651	599	320
652	600	319
653	600	317
654	601	316
655	602	316
656	603	315
657	604	314
658	604	313
659	605	312
660	606	311
661	607	310
662	607	308
663	608	307
664	609	306
665	610	305
666	610	304
667	611	303
668	612	302
669	612	301
670	613	300
671	614	299
672	615	298
673	615	297
674	616	296
675	617	295
676	617	294
677	618	293
678	619	292
679	620	291
680	621	291
681	622	290
682	622	289
683	623	288
684	624	287
685	625	286
686	625	285
687	626	284
688	627	283
689	628	282
690	628	281
691	629	280
692	630	279
693	631	278
694	632	277
695	633	276
696	633	275
697	635	274
698	635	273
699	636	272
700	637	271
701	637	270
702	638	269
703	639	268
704	640	267
705	641	266
706	642	266
707	643	265
708	643	264
709	644	263
710	645	262
711	646	261
712	646	260
713	647	259
714	648	258
715	649	257
716	650	256
717	650	255
718	651	254
719	652	253
720	653	252
721	653	251
722	654	250
723	655	249
724	655	248
725	656	247
726	657	246
727	658	245
728	659	245
729	660	244
730	660	243
731	661	242
732	661	241
733	662	240
734	663	239
735	664	238
736	665	237
737	665	236
738	667	235
739	667	234
740	668	233
741	669	232
742	669	231
743	670	230
744	671	229
745	671	228
746	672	227
747	673	226
748	674	225
749	674	224
750	675	224
751	676	223
752	677	222
753	677	221
754	678	220
755	679	219
756	680	218
757	680	217
758	681	216
759	682	215
760	683	214
761	683	213
762	684	212
763	685	211
764	685	210
765	686	209
766	687	208
767	687	207
768	688	206
769	689	205
770	690	204
771	690	203
772	691	203
773	691	202
774	692	201
775	693	200
776	694	199
777	694	198
778	695	197
779	696	196
780	696	195
781	697	194
782	698	193
783	698	192
784	699	191
785	700	190
786	700	189
787	701	188
788	702	187
789	702	186
790	703	185
791	704	184
792	704	184
793	705	183
794	706	182
795	707	181
796	707	180
797	708	179
798	709	178
799	710	177
800	710	176
801	711	175
802	712	174
803	712	173
804	713	172
805	714	171
806	714	170
807	715	169
808	715	169
809	716	168
810	717	167
811	717	166
812	718	165
813	719	164
814	720	163
815	720	162
816	721	161
817	722	160
818	722	159
